Term,Counts
 ,298004
e,154990
a,141484
o,99623
n,85971
r,81091
i,79060
s,75519
t,58658
l,57168
c,54576
d,51605
u,41463
E,36186
p,35752
m,34235
A,32785
O,22861
N,19784
I,18798
S,18506
R,18268
"
",15771
C,13567
T,13564
L,13536
g,13531
D,13016
.,12894
q,12793
y,11706
f,11312
b,10235
",",9939
U,9801
P,9229
M,8969
h,8758
v,8143
Ð,5373
“,4276
Q,3654
ó,3610
G,3544
j,3464
z,3232
F,3185
Y,2928
B,2677
á,2667
H,2417
0,2376
í,2260
V,2257
x,2122
Ñ,1731
1,1595
Â,1545
?,1517
Г,1462
é,1312
­,1227
–,1190
!,1137
2,991
J,978
©,934
Ž,929
Ã,862
3,798
8,779
Z,776
5,684
7,664
),634
"""",607
(,605
-,584
ñ,573
ú,532
6,532
X,517
4,508
:,507
k,499
9,480
і,424
w,405
/,398
Ó,314
Ў,311
¡,271
”,239
³,239
€,214
â,214
±,207
@,205
Í,188
;,177
Á,173
¿,169
’,111
É,104
œ,104
K,96
—,87
$,80
°,73
є,72
W,71
​,65
Œ,60
*,48
В,47
_,44
ї,44
˜,42
º,42
ƒ,41
',38
Ú,36
™,26
%,26
ò,23
#,20
‘,20
ì,20
‰,19
	,15
 ,15
Ѓ,15
ü,15
Ќ,14
&,13
è,13
◦,13
¬,12
,12
+,12
à,12
>,9
²,8
,8
‚,7
=,7
´,7
љ,6
†,6
Ò,6
<,5
•,4
ï,4
¦,4
,4
І,3
|,3
š,3
[,3
Ё,3
},3
Ÿ,2
½,2
,2
Š,2
ž,2
😕,2
{,2
Ç,2
ù,2
Ū,2
¨,2
¤,1
„,1
¼,1
Ì,1
»,1
ґ,1
ј,1
\,1
﻿,1
Ü,1
·,1
😷,1
`,1
],1
